area,food_group,ssr_645,ssr_664
Cameroon,Grains (Starchy staples),796.1254759,1395.158678
Cameroon,"Legumes, Nuts & Seeds",90.54403443,354.0483967
Cameroon,Meats,56.99784289,64.71898734
Cameroon,Miscellaneous,,
Cameroon,Spices,27.48974164,67.21465798
Cameroon,Sugars,67.87351952,98.10666667
Cameroon,Vegetables,185.4796043,41.18300096
Canada,Alcohol,212.3595488,95.57378803
Canada,Dairy,538.0856918,241.0951458
Canada,Fats & Oils,200.0807009,1596.610745
Canada,Fruits,96.05228511,32.7974912
Canada,Grains (Starchy staples),960.6426826,1816.620228
Canada,"Legumes, Nuts & Seeds",148.4356408,525.0937861
Canada,Meats,433.4900258,546.6864345
Canada,Miscellaneous,,
Canada,Spices,0.745830958,0.633769322
Canada,Sugars,69.37886437,230.0310013
Canada,Vegetables,140.1299075,39.89275602
Central African Republic,Alcohol,54.54673024,22.49667406
Central African Republic,Dairy,42.97825165,26.78969072
Central African Republic,Fats & Oils,31.67015242,278.478169
Central African Republic,Fruits,107.4769737,53.86646154
Central African Republic,Grains (Starchy staples),850.612441,1147.950977
Central African Republic,"Legumes, Nuts & Seeds",44.92366995,179.1400332
Central African Republic,Meats,127.9007753,193.4233863
Central African Republic,Miscellaneous,,
Central African Republic,Spices,3.70315664,1.765217391
Central African Republic,Sugars,21.79360731,73.76507937
Central African Republic,Vegetables,54.36712329,11.37477876
Chad,Alcohol,14.44180318,5.52462908
Chad,Dairy,57.20298073,38.31555243
Chad,Fats & Oils,9.743631068,85.97104072
Chad,Fruits,24.20227629,15.72139303
Chad,Grains (Starchy staples),573.0160901,1397.746693
Chad,"Legumes, Nuts & Seeds",69.07583759,318.6848601
Chad,Meats,52.62365617,71.89171648
Chad,Miscellaneous,,
Chad,Spices,0,0
Chad,Sugars,22.58234221,80.53845557
Chad,Vegetables,21.52328767,5.6
Chile,Alcohol,270.9158898,153.8846981
Chile,Dairy,293.9373904,149.3955606
Chile,Fats & Oils,11.62119501,95.17898194
Chile,Fruits,395.4263475,172.5311379
Chile,Grains (Starchy staples),362.1099862,842.9215096
Chile,"Legumes, Nuts & Seeds",17.54373225,51.16567915
Chile,Meats,533.4645568,907.2547691
Chile,Miscellaneous,,
Chile,Spices,0,0
Chile,Sugars,103.9293327,364.4100633
Chile,Vegetables,190.5515583,61.09800402
China,Alcohol,115.231768,92.22290667
China,Dairy,75.83095605,49.84087447
China,Fats & Oils,18.68606967,157.2465628
China,Fruits,321.0014566,111.6176595
China,Grains (Starchy staples),570.9128077,1510.657522
China,"Legumes, Nuts & Seeds",16.93986657,62.86582451
China,Meats,303.8322873,575.7659214
China,Miscellaneous,,
China,Spices,5.072451481,5.09080333
China,Sugars,19.56081467,68.41719869
China,Vegetables,869.1430435,219.255244
"China, Hong Kong SAR",Alcohol,16.1490911,10.0608365
"China, Hong Kong SAR",Dairy,0,0
"China, Hong Kong SAR",Fats & Oils,11.32143952,90.69740113
"China, Hong Kong SAR",Fruits,1.589267326,0.619305239
"China, Hong Kong SAR",Grains (Starchy staples),0,0
"China, Hong Kong SAR","Legumes, Nuts & Seeds",0,0
"China, Hong Kong SAR",Meats,116.5206888,159.2877314
"China, Hong Kong SAR",Miscellaneous,,
"China, Hong Kong SAR",Spices,0.37088192,0.768595041
"China, Hong Kong SAR",Sugars,0.374630012,1.140257771
"China, Hong Kong SAR",Vegetables,12.48797486,5.158311719
"China, Macao SAR",Alcohol,6.827095243,5.401574803
"China, Macao SAR",Dairy,0,0
"China, Macao SAR",Fats & Oils,0,0
"China, Macao SAR",Fruits,0,0
"China, Macao SAR",Grains (Starchy staples),0,0
"China, Macao SAR","Legumes, Nuts & Seeds",0,0
"China, Macao SAR",Meats,67.61702732,97.15777351
"China, Macao SAR",Miscellaneous,,
"China, Macao SAR",Spices,0,0
"China, Macao SAR",Sugars,0,0
"China, Macao SAR",Vegetables,0,0
"China, Taiwan Province of",Alcohol,78.34908858,66.4940239
"China, Taiwan Province of",Dairy,40.30017927,22.79975191
"China, Taiwan Province of",Fats & Oils,40.36205476,349.5221278
"China, Taiwan Province of",Fruits,283.3675351,109.7984871
"China, Taiwan Province of",Grains (Starchy staples),53.29065561,153.3060115
"China, Taiwan Province of","Legumes, Nuts & Seeds",6.650537598,16.50840364
"China, Taiwan Province of",Meats,279.0216542,426.4498872
"China, Taiwan Province of",Miscellaneous,,
"China, Taiwan Province of",Spices,6.063856691,14.41923077
"China, Taiwan Province of",Sugars,49.86863144,165.1095088
"China, Taiwan Province of",Vegetables,270.1907423,94.78054863
"China, mainland",Alcohol,116.3860962,92.70957987
"China, mainland",Dairy,76.81680213,50.33130643
"China, mainland",Fats & Oils,18.26536241,153.9355118
"China, mainland",Fruits,323.4491573,112.8309028
"China, mainland",Grains (Starchy staples),584.5642254,1545.320184
"China, mainland","Legumes, Nuts & Seeds",16.77118781,62.9719381
"China, mainland",Meats,305.7234114,583.2474388
"China, mainland",Miscellaneous,,
"China, mainland",Spices,5.069933218,4.303547963
"China, mainland",Sugars,18.19359781,64.84945658
"China, mainland",Vegetables,883.9727853,222.3730302
Colombia,Alcohol,118.0975015,59.35297308
Colombia,Dairy,299.474847,180.5815297
Colombia,Fats & Oils,37.36257522,327.4829954
Colombia,Fruits,334.8546749,124.6069916
Colombia,Grains (Starchy staples),382.6552175,690.5676493
Colombia,"Legumes, Nuts & Seeds",12.73393932,38.13457944
Colombia,Meats,167.6892479,251.5035172
Colombia,Miscellaneous,,
Colombia,Spices,32.07177436,45.38613569
Colombia,Sugars,160.2417002,561.9871858
Colombia,Vegetables,67.14620497,21.67431193
Congo,Alcohol,96.66376217,46.01365979
Congo,Dairy,0.657202828,0.435483871
Congo,Fats & Oils,14.54678143,123.9876106
Congo,Fruits,116.7584209,57.56140351
Congo,Grains (Starchy staples),789.0091077,1113.871598
Congo,"Legumes, Nuts & Seeds",18.93917305,76.57522936
Congo,Meats,83.08080413,83.76623377
Congo,Miscellaneous,,
Congo,Spices,1.219068494,3.24
Congo,Sugars,44.28676422,146.8237201
Congo,Vegetables,84.36172551,35.9298103
Costa Rica,Alcohol,56.92666968,72.77619048
Costa Rica,Dairy,537.869955,318.0629255
Costa Rica,Fats & Oils,86.14984375,722.1653516
Costa Rica,Fruits,1724.470473,587.4304457
Costa Rica,Grains (Starchy staples),159.1663905,396.5918023
Costa Rica,"Legumes, Nuts & Seeds",7.446634474,23.65863309
Costa Rica,Meats,205.8018066,234.7107401
Costa Rica,Miscellaneous,,
Costa Rica,Spices,58.46178956,64.02269504
Costa Rica,Sugars,153.1000887,541.3813586
Costa Rica,Vegetables,195.0814708,66.78654971
Croatia,Alcohol,265.5291822,158.8756551
Croatia,Dairy,491.277266,247.7311152
Croatia,Fats & Oils,33.49950672,249.459268
Croatia,Fruits,234.0679531,98.8658141
Croatia,Grains (Starchy staples),494.9725873,1075.581667
Croatia,"Legumes, Nuts & Seeds",46.41196497,113.0740984
Croatia,Meats,208.5268088,286.7539711
Croatia,Miscellaneous,,
Croatia,Spices,0,0
Croatia,Sugars,118.1308531,379.5872961
Croatia,Vegetables,115.2101181,36.16734426
Cuba,Alcohol,91.65560776,65.38299055
Cuba,Dairy,137.721573,74.67862517
Cuba,Fats & Oils,5.860980999,50.34193548
Cuba,Fruits,419.7744378,125.1572832
Cuba,Grains (Starchy staples),444.753276,905.8595561
Cuba,"Legumes, Nuts & Seeds",20.15447027,60.49039577
Cuba,Meats,113.9947745,193.3317545
Cuba,Miscellaneous,,
Cuba,Spices,2.423277672,2.084671533
Cuba,Sugars,163.0485444,580.4030367
Cuba,Vegetables,237.4063257,59.26304373
Cyprus,Alcohol,90.0350249,60.85227273
Cyprus,Dairy,311.7016623,229.2634978
Cyprus,Fats & Oils,14.19803908,123.4010152
Cyprus,Fruits,351.5848791,135.1060109
Cyprus,Grains (Starchy staples),110.1397692,257.7377953
Cyprus,"Legumes, Nuts & Seeds",22.94001749,69.81276596
Cyprus,Meats,176.7979302,236.8520291
Cyprus,Miscellaneous,,
Cyprus,Spices,0,0
Cyprus,Sugars,0.484085204,1.506806283
Cyprus,Vegetables,195.8175421,58.48273381
Czechia,Alcohol,467.1703049,280.9677419
Czechia,Dairy,631.5322649,349.4566268
Czechia,Fats & Oils,78.02073516,649.2026886
Czechia,Fruits,55.75627361,19.64718455
Czechia,Grains (Starchy staples),686.9696286,1333.657063
Czechia,"Legumes, Nuts & Seeds",23.22644795,73.6248833
Czechia,Meats,184.363905,250.4240972
Czechia,Miscellaneous,,
Czechia,Spices,0.722300096,1.684883721
Czechia,Sugars,111.7879438,371.8817661
Czechia,Vegetables,43.59268398,12.07660227
Côte d'Ivoire,Alcohol,116.2740692,52.56264501
Côte d'Ivoire,Dairy,4.335862311,2.941025641
Côte d'Ivoire,Fats & Oils,59.42164454,520.3677519
Côte d'Ivoire,Fruits,72.38219376,24.96994668
Côte d'Ivoire,Grains (Starchy staples),1181.828556,1784.27895
Côte d'Ivoire,"Legumes, Nuts & Seeds",66.12235,230.5586153
Côte d'Ivoire,Meats,52.57126895,52.15641457
Côte d'Ivoire,Miscellaneous,,
Côte d'Ivoire,Spices,128.8840528,182.3621451
Côte d'Ivoire,Sugars,30.57354921,97.53005735
Côte d'Ivoire,Vegetables,82.4208243,28.4183546
Democratic People's Republic of Korea,Alcohol,22.27783825,52.30273973
Democratic People's Republic of Korea,Dairy,10.27800224,6.214785992
Democratic People's Republic of Korea,Fats & Oils,11.04505929,96.24980237
Democratic People's Republic of Korea,Fruits,163.0505164,66.43323572
Democratic People's Republic of Korea,Grains (Starchy staples),484.7605424,1214.520871
Democratic People's Republic of Korea,"Legumes, Nuts & Seeds",40.2170187,137.179803
Democratic People's Republic of Korea,Meats,80.93713891,119.6582278
